Modelo,val_auc,val_f1,val_prec,val_rec,te_auc,te_f1,te_prec,te_rec
LightGBM,0.8411875181464419,0.5005556070006482,0.37638826027921873,0.7469771298279555,0.8349963262141041,0.45716289587288533,0.32869637795823264,0.7504764173415912
XGBoost,0.8411321999886163,0.5113817891373802,0.4002969794068227,0.7078007323982588,0.8343447605411893,0.46860017291519296,0.3496774193548387,0.7101000476417342
Random Forest,0.838220943905826,0.4975378526393299,0.37298602725547697,0.7469771298279555,0.829651068695627,0.452975561145746,0.32639801047303807,0.7399158329363189
