Cell_Lat,Cell_Lon,Cell_Freq,Nearest_Municipio,Data,DiaSemChuva,Precipitacao,Mes,DiaSemana,Estacao_Seca,media_focos_mes_hist,prob_fogo,risco
-15.1,-48.9,0.0024669097396047,VILA PROPÍCIO,2026-06-06,12,0.0,6,5,1,21.818181818181817,0.9782759962895626,ALTO
-17.0,-49.8,0.0007140082963776,CEZARINA,2026-06-06,6,0.0,6,5,1,8.363636363636363,0.9520124395140571,ALTO
-16.7,-49.4,0.0010278175269469,ABADIA DE GOIÁS,2026-06-06,4,0.0,6,5,1,8.272727272727273,0.9519055915036239,ALTO
-16.8,-49.4,0.0005840543561889,ABADIA DE GOIÁS,2026-06-06,4,0.0,6,5,1,6.636363636363637,0.935224442415146,ALTO
-16.1,-48.0,0.0006623220701662,VALPARAÍSO DE GOIÁS,2026-06-06,3,0.0,6,5,1,5.090909090909091,0.9054681825741258,ALTO
-16.8,-49.2,0.0008912182148168,APARECIDA DE GOIÂNIA,2026-06-06,4,0.0,6,5,1,4.727272727272728,0.9050824762616521,ALTO
-16.6,-49.4,0.0009488114383095,GOIANIRA,2026-06-06,4,0.0,6,5,1,4.818181818181818,0.9048790916970159,ALTO
-17.1,-47.7,0.0010226489043258,CAMPO ALEGRE DE GOIÁS,2026-06-06,12,0.0,6,5,1,4.454545454545454,0.8985020690115232,ALTO
-16.7,-49.1,0.0008860495921956,SENADOR CANEDO,2026-06-06,4,0.0,6,5,1,4.363636363636363,0.8961116675575176,ALTO
-16.4,-48.9,0.0005678101136653,ANÁPOLIS,2026-06-06,4,0.0,6,5,1,4.363636363636363,0.8958912718570536,ALTO
-16.8,-49.3,0.0004297340522149,APARECIDA DE GOIÂNIA,2026-06-06,4,0.0,6,5,1,4.2727272727272725,0.8937257701567508,ALTO
-14.5,-49.1,0.0008867879668558,URUAÇU,2026-06-06,17,0.0,6,5,1,4.181818181818182,0.8879430191546649,ALTO
-17.7,-48.6,0.0005995602240524,CALDAS NOVAS,2026-06-06,4,0.0,6,5,1,4.0,0.8865820730962883,ALTO
-14.8,-48.3,0.0014006967303293,MIMOSO DE GOIÁS,2026-06-06,2,0.0,6,5,1,4.90909090909091,0.8850157307079619,ALTO
-13.5,-47.5,0.0007605258999679,CAVALCANTE,2026-06-06,3,0.0,6,5,1,4.0,0.8825512702404253,ALTO
-15.4,-47.6,0.0005700252376458,PLANALTINA,2026-06-06,4,0.0,6,5,1,3.909090909090909,0.8816106254402785,ALTO
-13.6,-47.5,0.0006711825660882,CAVALCANTE,2026-06-06,3,0.0,6,5,1,3.727272727272727,0.8736158647572438,ALTO
-13.6,-47.8,0.0011754924589795,CAVALCANTE,2026-06-06,3,0.0,6,5,1,3.636363636363636,0.8715521569293518,ALTO
-17.2,-47.6,0.0009657940554932,CAMPO ALEGRE DE GOIÁS,2026-06-06,12,0.0,6,5,1,3.545454545454546,0.8714868235288531,ALTO
-16.6,-49.3,0.0005419670005596,GOIÂNIA,2026-06-06,4,0.0,6,5,1,3.545454545454546,0.8706479908893511,ALTO
-14.8,-48.4,0.0011873064535422,MIMOSO DE GOIÁS,2026-06-06,2,0.0,6,5,1,4.090909090909091,0.8687186687320171,ALTO
-17.2,-47.7,0.0009096775813208,CAMPO ALEGRE DE GOIÁS,2026-06-06,12,0.0,6,5,1,3.4545454545454546,0.8663020635422538,ALTO
-17.6,-47.5,0.0009406893170477,CAMPO ALEGRE DE GOIÁS,2026-06-06,12,0.0,6,5,1,3.363636363636364,0.8649306440491147,ALTO
-14.6,-48.4,0.001317998768391,NIQUELÂNDIA,2026-06-06,12,0.0,6,5,1,3.4545454545454546,0.8640803143758226,ALTO
-13.5,-47.8,0.0009938522925794,CAVALCANTE,2026-06-06,3,0.0,6,5,1,3.4545454545454546,0.8635436717673326,ALTO
-13.7,-47.8,0.0009200148265631,CAVALCANTE,2026-06-06,3,0.0,6,5,1,3.363636363636364,0.8606584908195446,ALTO
-16.2,-47.9,0.0005670717390052,CIDADE OCIDENTAL,2026-06-06,4,0.0,6,5,1,3.272727272727273,0.8597035102144721,ALTO
-13.5,-47.6,0.0010108349097632,CAVALCANTE,2026-06-06,3,0.0,6,5,1,3.272727272727273,0.8577452706419658,ALTO
-16.4,-49.9,0.0008528227324883,ANICUNS,2026-06-06,4,0.0,6,5,1,3.1818181818181817,0.8561585996781088,ALTO
-14.4,-47.0,0.0006276184611386,FLORES DE GOIÁS,2026-06-06,5,0.0,6,5,1,3.1818181818181817,0.8546782968337264,ALTO
-14.9,-48.5,0.0009879452952981,MIMOSO DE GOIÁS,2026-06-06,2,0.0,6,5,1,3.636363636363636,0.8534358818468173,ALTO
-16.1,-48.1,0.0005766706095873,NOVO GAMA,2026-06-06,3,0.0,6,5,1,3.272727272727273,0.8531129107837565,ALTO
-14.9,-47.1,0.000810735376859,VILA BOA,2026-06-06,2,0.0,6,5,1,3.636363636363636,0.8529151581467899,ALTO
-16.7,-49.2,0.0006187579652166,SENADOR CANEDO,2026-06-06,4,0.0,6,5,1,3.090909090909091,0.8508144170903449,ALTO
-16.3,-48.9,0.0004157049336718,ANÁPOLIS,2026-06-06,4,0.0,6,5,1,3.090909090909091,0.8505139552405998,ALTO
-15.1,-49.5,0.0008594681044298,NOVA GLÓRIA,2026-06-06,4,0.0,6,5,1,3.0,0.8463477141958268,ALTO
-14.7,-48.2,0.0013711617439228,NIQUELÂNDIA,2026-06-06,12,0.0,6,5,1,3.0,0.8459068124614257,ALTO
-14.5,-47.7,0.0007620026492882,SÃO JOÃO D'ALIANÇA,2026-06-06,4,0.0,6,5,1,3.0,0.8456020276336139,ALTO
-13.9,-47.2,0.000398722316488,TERESINA DE GOIÁS,2026-06-06,2,0.0,6,5,1,3.363636363636364,0.8446031825830881,ALTO
-16.7,-49.3,0.0003270999744522,GOIÂNIA,2026-06-06,4,0.0,6,5,1,2.909090909090909,0.8426513951120894,ALTO
-14.9,-48.4,0.0014789644443066,MIMOSO DE GOIÁS,2026-06-06,2,0.0,6,5,1,3.363636363636364,0.8412855683159765,ALTO
-16.8,-47.6,0.0011850913295617,CRISTALINA,2026-06-06,3,0.0,6,5,1,3.0,0.8406664311637752,ALTO
-15.1,-51.5,0.00063426383308,BRITÂNIA,2026-06-06,14,0.0,6,5,1,2.8181818181818183,0.8378219243552997,ALTO
-15.4,-47.8,0.0018511052730287,PLANALTINA,2026-06-06,4,0.0,6,5,1,2.8181818181818183,0.8375042200966394,ALTO
-15.3,-49.1,0.0002643381283383,GOIANÉSIA,2026-06-06,4,0.0,6,5,1,2.8181818181818183,0.8375042200966394,ALTO
-14.7,-48.3,0.0018880240060369,NIQUELÂNDIA,2026-06-06,12,0.0,6,5,1,2.8181818181818183,0.8370428281333033,ALTO
-13.2,-50.6,0.0004422864214376,SÃO MIGUEL DO ARAGUAIA,2026-06-06,4,0.0,6,5,1,2.8181818181818183,0.8367238950731626,ALTO
-15.5,-47.6,0.0003477744649368,PLANALTINA,2026-06-06,4,0.0,6,5,1,2.727272727272727,0.8315035442760582,ALTO
