Cell_Lat,Cell_Lon,Cell_Freq,Nearest_Municipio,Data,DiaSemChuva,Precipitacao,Mes,DiaSemana,Estacao_Seca,media_focos_mes_hist,prob_fogo,risco
-15.1,-48.9,0.0024669097396047,VILA PROPÍCIO,2026-06-04,10,0.0,6,3,1,21.818181818181817,0.9881860978574888,ALTO
-17.0,-49.8,0.0007140082963776,CEZARINA,2026-06-04,4,0.0,6,3,1,8.363636363636363,0.9522553898737182,ALTO
-16.7,-49.4,0.0010278175269469,ABADIA DE GOIÁS,2026-06-04,2,0.0,6,3,1,8.272727272727273,0.9429813510449824,ALTO
-16.8,-49.4,0.0005840543561889,ABADIA DE GOIÁS,2026-06-04,2,0.0,6,3,1,6.636363636363637,0.9202276782554913,ALTO
-14.8,-48.3,0.0014006967303293,MIMOSO DE GOIÁS,2026-06-04,3,0.0,6,3,1,4.90909090909091,0.9052841060111779,ALTO
-17.1,-47.7,0.0010226489043258,CAMPO ALEGRE DE GOIÁS,2026-06-04,10,0.0,6,3,1,4.454545454545454,0.9017824431940149,ALTO
-14.5,-49.1,0.0008867879668558,URUAÇU,2026-06-04,15,0.0,6,3,1,4.181818181818182,0.8897548070641479,ALTO
-14.8,-48.4,0.0011873064535422,MIMOSO DE GOIÁS,2026-06-04,3,0.0,6,3,1,4.090909090909091,0.8866929775006779,ALTO
-16.6,-49.4,0.0009488114383095,GOIANIRA,2026-06-04,2,0.0,6,3,1,4.818181818181818,0.8854149703041646,ALTO
-16.8,-49.2,0.0008912182148168,APARECIDA DE GOIÂNIA,2026-06-04,2,0.0,6,3,1,4.727272727272728,0.8804385227435252,ALTO
-17.2,-47.6,0.0009657940554932,CAMPO ALEGRE DE GOIÁS,2026-06-04,10,0.0,6,3,1,3.545454545454546,0.8763177622124521,ALTO
-14.9,-47.1,0.000810735376859,VILA BOA,2026-06-04,4,0.0,6,3,1,3.636363636363636,0.8752630993968632,ALTO
-13.5,-47.5,0.0007605258999679,CAVALCANTE,2026-06-04,1,0.0,6,3,1,4.0,0.8736225167500714,ALTO
-17.6,-47.5,0.0009406893170477,CAMPO ALEGRE DE GOIÁS,2026-06-04,10,0.0,6,3,1,3.363636363636364,0.8733790559147685,ALTO
-17.2,-47.7,0.0009096775813208,CAMPO ALEGRE DE GOIÁS,2026-06-04,10,0.0,6,3,1,3.4545454545454546,0.8723173447896175,ALTO
-14.9,-48.5,0.0009879452952981,MIMOSO DE GOIÁS,2026-06-04,3,0.0,6,3,1,3.636363636363636,0.8719421213513842,ALTO
-16.4,-48.9,0.0005678101136653,ANÁPOLIS,2026-06-04,2,0.0,6,3,1,4.363636363636363,0.8707831635360693,ALTO
-14.6,-48.4,0.001317998768391,NIQUELÂNDIA,2026-06-04,10,0.0,6,3,1,3.4545454545454546,0.8705152683576379,ALTO
-16.7,-49.1,0.0008860495921956,SENADOR CANEDO,2026-06-04,2,0.0,6,3,1,4.363636363636363,0.869794041338782,ALTO
-16.8,-49.3,0.0004297340522149,APARECIDA DE GOIÂNIA,2026-06-04,2,0.0,6,3,1,4.2727272727272725,0.8691822666455081,ALTO
-15.4,-47.6,0.0005700252376458,PLANALTINA,2026-06-04,2,0.0,6,3,1,3.909090909090909,0.8677572783999631,ALTO
-14.4,-47.9,0.0011533412191747,Niquelândia,2026-06-04,1,0.0,6,3,1,4.454545454545454,0.8675768343935876,ALTO
-13.9,-47.2,0.000398722316488,TERESINA DE GOIÁS,2026-06-04,2,0.0,6,3,1,3.363636363636364,0.8652849639458841,ALTO
-13.6,-47.5,0.0006711825660882,CAVALCANTE,2026-06-04,1,0.0,6,3,1,3.727272727272727,0.864762561242442,ALTO
-14.9,-48.4,0.0014789644443066,MIMOSO DE GOIÁS,2026-06-04,3,0.0,6,3,1,3.363636363636364,0.8639716658835317,ALTO
-17.7,-48.6,0.0005995602240524,CALDAS NOVAS,2026-06-04,2,0.0,6,3,1,4.0,0.8581872633213564,ALTO
-14.4,-47.0,0.0006276184611386,FLORES DE GOIÁS,2026-06-04,3,0.0,6,3,1,3.1818181818181817,0.8574046525357537,ALTO
-13.6,-47.8,0.0011754924589795,CAVALCANTE,2026-06-04,1,0.0,6,3,1,3.636363636363636,0.8566494766156647,ALTO
-14.7,-48.2,0.0013711617439228,NIQUELÂNDIA,2026-06-04,10,0.0,6,3,1,3.0,0.8518531010541635,ALTO
-13.5,-47.8,0.0009938522925794,CAVALCANTE,2026-06-04,1,0.0,6,3,1,3.4545454545454546,0.8501764751118059,ALTO
-13.2,-50.6,0.0004422864214376,SÃO MIGUEL DO ARAGUAIA,2026-06-04,2,0.0,6,3,1,2.8181818181818183,0.8497302707841717,ALTO
-16.6,-49.3,0.0005419670005596,GOIÂNIA,2026-06-04,2,0.0,6,3,1,3.545454545454546,0.8487935780372325,ALTO
-13.7,-47.8,0.0009200148265631,CAVALCANTE,2026-06-04,1,0.0,6,3,1,3.363636363636364,0.8466044098378436,ALTO
-14.7,-48.3,0.0018880240060369,NIQUELÂNDIA,2026-06-04,10,0.0,6,3,1,2.8181818181818183,0.8456633363234827,ALTO
-13.5,-47.6,0.0010108349097632,CAVALCANTE,2026-06-04,1,0.0,6,3,1,3.272727272727273,0.8444694827143515,ALTO
-16.4,-49.9,0.0008528227324883,ANICUNS,2026-06-04,2,0.0,6,3,1,3.1818181818181817,0.8427147668398373,ALTO
-16.2,-47.9,0.0005670717390052,CIDADE OCIDENTAL,2026-06-04,2,0.0,6,3,1,3.272727272727273,0.8407319134815081,ALTO
-13.2,-50.5,0.0007088396737565,SÃO MIGUEL DO ARAGUAIA,2026-06-04,2,0.0,6,3,1,2.5454545454545454,0.8404687108731693,ALTO
-14.5,-47.7,0.0007620026492882,SÃO JOÃO D'ALIANÇA,2026-06-04,2,0.0,6,3,1,3.0,0.8400913311026833,ALTO
-14.2,-47.0,0.0010610443866543,IACIARA,2026-06-04,3,0.0,6,3,1,2.727272727272727,0.8387199851119899,ALTO
-15.1,-49.5,0.0008594681044298,NOVA GLÓRIA,2026-06-04,2,0.0,6,3,1,3.0,0.8380600946711417,ALTO
-14.8,-49.3,0.000733944412202,HIDROLINA,2026-06-04,19,0.0,6,3,1,2.727272727272727,0.8370003409082641,ALTO
-16.2,-50.0,0.0006999791778345,AMERICANO DO BRASIL,2026-06-04,10,0.0,6,3,1,2.636363636363636,0.8345551852628135,ALTO
-13.9,-47.1,0.0007546189026866,NOVA ROMA,2026-06-04,2,0.0,6,3,1,2.636363636363636,0.8333045435447397,ALTO
-16.1,-48.0,0.0006623220701662,VALPARAÍSO DE GOIÁS,2026-06-04,1,0.0,6,3,1,5.090909090909091,0.8327452724265851,ALTO
-15.3,-49.1,0.0002643381283383,GOIANÉSIA,2026-06-04,2,0.0,6,3,1,2.8181818181818183,0.8324780219647158,ALTO
-14.6,-50.7,0.0001535819293139,MOZARLÂNDIA,2026-06-04,15,0.0,6,3,1,2.636363636363636,0.830314189982174,ALTO
-16.7,-49.2,0.0006187579652166,SENADOR CANEDO,2026-06-04,2,0.0,6,3,1,3.090909090909091,0.8299925614777375,ALTO
-16.3,-48.9,0.0004157049336718,ANÁPOLIS,2026-06-04,2,0.0,6,3,1,3.090909090909091,0.8291817546676524,ALTO
-16.6,-49.5,0.0003204546025107,TRINDADE,2026-06-04,12,0.0,6,3,1,2.454545454545455,0.8273255182417328,ALTO
-14.8,-48.5,0.0009406893170477,MIMOSO DE GOIÁS,2026-06-04,3,0.0,6,3,1,2.5454545454545454,0.8269754125711971,ALTO
-14.7,-48.7,0.0004865889010474,BARRO ALTO,2026-06-04,10,0.0,6,3,1,2.454545454545455,0.8264369329781511,ALTO
-13.5,-47.9,0.0014169409728529,CAVALCANTE,2026-06-04,1,0.0,6,3,1,2.727272727272727,0.8248816250640523,ALTO
-15.4,-47.8,0.0018511052730287,PLANALTINA,2026-06-04,2,0.0,6,3,1,2.8181818181818183,0.8240096006823804,ALTO
-15.0,-49.5,0.0005641182403645,NOVA GLÓRIA,2026-06-04,2,0.0,6,3,1,2.636363636363636,0.8237704658242584,ALTO
-15.0,-47.6,0.0008631599777306,ÁGUA FRIA DE GOIÁS,2026-06-04,2,0.0,6,3,1,2.636363636363636,0.8216833962078615,ALTO
-13.7,-49.4,0.0006438627036621,MUTUNÓPOLIS,2026-06-04,2,0.0,6,3,1,2.272727272727273,0.8215037520329598,ALTO
-16.7,-49.3,0.0003270999744522,GOIÂNIA,2026-06-04,2,0.0,6,3,1,2.909090909090909,0.8205108694954318,ALTO
-15.5,-47.6,0.0003477744649368,PLANALTINA,2026-06-04,2,0.0,6,3,1,2.727272727272727,0.8195644763658543,ALTO
-13.4,-47.6,0.0014413073366382,CAVALCANTE,2026-06-04,1,0.0,6,3,1,2.636363636363636,0.8187383814743838,ALTO
-14.2,-48.8,0.0007900608863744,CAMPINORTE,2026-06-04,1,0.0,6,3,1,2.727272727272727,0.8181763991268685,ALTO
-13.7,-47.5,0.0004134898096913,TERESINA DE GOIÁS,2026-06-04,2,0.0,6,3,1,2.272727272727273,0.8178523334758451,ALTO
-17.1,-51.8,0.000290181241444,CAIAPÔNIA,2026-06-04,12,0.0,6,3,1,2.272727272727273,0.8156708352600381,ALTO
-18.4,-52.1,0.0005323681299775,SERRANÓPOLIS,2026-06-04,12,0.0,6,3,1,2.1818181818181817,0.8145820938941402,ALTO
-17.8,-50.5,0.0012714811648007,SANTA HELENA DE GOIÁS,2026-06-04,12,0.0,6,3,1,2.272727272727273,0.8141969478481073,ALTO
-14.6,-48.6,0.000697764053854,NIQUELÂNDIA,2026-06-04,10,0.0,6,3,1,2.272727272727273,0.813101897663253,ALTO
-13.4,-47.9,0.0017314885780823,CAVALCANTE,2026-06-04,1,0.0,6,3,1,2.363636363636364,0.8118914473937174,ALTO
-14.5,-47.8,0.0012005971974251,Niquelândia,2026-06-04,1,0.0,6,3,1,2.8181818181818183,0.8115434777641521,ALTO
-13.7,-47.7,0.0012869870326642,CAVALCANTE,2026-06-04,1,0.0,6,3,1,2.363636363636364,0.809348068732286,ALTO
-16.3,-48.0,0.0004607457879417,LUZIÂNIA,2026-06-04,2,0.0,6,3,1,2.5454545454545454,0.8091578021368261,ALTO
-14.3,-47.4,0.0007206536683191,SÃO JOÃO D'ALIANÇA,2026-06-04,2,0.0,6,3,1,2.272727272727273,0.8058486742140853,ALTO
-16.6,-49.2,0.0018850705073962,GOIÂNIA,2026-06-04,2,0.0,6,3,1,2.636363636363636,0.8057759491283567,ALTO
-13.6,-47.7,0.0012825567847032,CAVALCANTE,2026-06-04,1,0.0,6,3,1,2.272727272727273,0.8053671005266639,ALTO
-13.4,-47.5,0.0011703238363584,CAVALCANTE,2026-06-04,1,0.0,6,3,1,2.272727272727273,0.8052955566547053,ALTO
-18.2,-47.9,0.0006852116846313,OUVIDOR,2026-06-04,2,0.0,6,3,1,2.636363636363636,0.8052866442731306,ALTO
-17.7,-47.5,0.0006601069461857,CATALÃO,2026-06-04,2,0.0,6,3,1,2.363636363636364,0.805077856389528,ALTO
-14.6,-47.5,0.0004998796449303,SÃO JOÃO D'ALIANÇA,2026-06-04,2,0.0,6,3,1,2.272727272727273,0.8048457453193346,ALTO
-13.9,-47.8,0.000955456810251,COLINAS DO SUL,2026-06-04,2,0.0,6,3,1,2.1818181818181817,0.8047445009416545,ALTO
-18.4,-49.3,0.0009251834491843,ITUMBIARA,2026-06-04,3,0.0,6,3,1,2.454545454545455,0.8026804440431441,ALTO
-14.9,-49.3,0.0004858505263872,SÃO LUIZ DO NORTE,2026-06-04,2,0.0,6,3,1,2.272727272727273,0.8023725772353703,ALTO
-14.5,-49.0,0.0009155845786021,URUAÇU,2026-06-04,15,0.0,6,3,1,2.1818181818181817,0.801495898641526,ALTO
-16.8,-49.1,0.0005973451000719,SENADOR CANEDO,2026-06-04,2,0.0,6,3,1,2.454545454545455,0.8005430470432149,ALTO
-13.2,-48.3,0.0004371177988165,MINAÇU,2026-06-04,2,0.0,6,3,1,2.0,0.7990780835999949,ALTO
-15.1,-51.5,0.00063426383308,BRITÂNIA,2026-06-04,12,0.0,6,3,1,2.8181818181818183,0.7990613681220724,ALTO
-14.9,-48.3,0.0016480522414839,MIMOSO DE GOIÁS,2026-06-04,3,0.0,6,3,1,2.1818181818181817,0.7976176181561215,ALTO
-16.3,-52.1,0.0002569543817367,BOM JARDIM DE GOIÁS,2026-06-04,12,0.0,6,3,1,2.0,0.7965509600132767,ALTO
-17.3,-47.6,0.0001713029211578,CAMPO ALEGRE DE GOIÁS,2026-06-04,10,0.0,6,3,1,2.0,0.7963944721236409,ALTO
-14.4,-47.8,0.0013866676117862,Niquelândia,2026-06-04,1,0.0,6,3,1,2.5454545454545454,0.7959550532464679,ALTO
-16.4,-51.1,0.0002436636378538,IPORÁ,2026-06-04,8,0.0,6,3,1,2.0,0.7948179409841345,ALTO
-16.1,-48.1,0.0005766706095873,NOVO GAMA,2026-06-04,1,0.0,6,3,1,3.272727272727273,0.7947499398617942,ALTO
-16.7,-50.9,0.0004541004160002,IVOLÂNDIA,2026-06-04,12,0.0,6,3,1,2.0,0.7935621721715459,ALTO
-14.6,-48.2,0.0012463764263552,NIQUELÂNDIA,2026-06-04,10,0.0,6,3,1,2.0,0.7932808703337115,ALTO
-13.2,-48.9,0.000742804908124,MONTIVIDIU DO NORTE,2026-06-04,18,0.0,6,3,1,2.090909090909091,0.7932189898350673,ALTO
-18.4,-51.7,0.0004334259255157,APARECIDA DO RIO DOCE,2026-06-04,13,0.0,6,3,1,1.909090909090909,0.7931160372772585,ALTO
-18.0,-50.3,0.0008624216030704,MAURILÂNDIA,2026-06-04,3,0.0,6,3,1,2.272727272727273,0.7926255210033959,ALTO
-13.6,-46.6,0.0003344837210538,SÃO DOMINGOS,2026-06-04,2,0.0,6,3,1,2.0,0.7918090561959588,ALTO
-14.3,-48.0,0.0016170405057571,Niquelândia,2026-06-04,1,0.0,6,3,1,2.363636363636364,0.7911054075622785,ALTO
-13.8,-47.8,0.0006844733099711,CAVALCANTE,2026-06-04,1,0.0,6,3,1,2.1818181818181817,0.7905166965713768,ALTO
-14.2,-46.9,0.0005641182403645,IACIARA,2026-06-04,3,0.0,6,3,1,2.0,0.7900645558877888,ALTO
-17.2,-52.3,0.0005892229788101,PEROLÂNDIA,2026-06-04,12,0.0,6,3,1,1.909090909090909,0.7894788904575333,ALTO
-13.8,-47.1,0.000711054797737,NOVA ROMA,2026-06-04,2,0.0,6,3,1,2.0,0.7890478693210727,ALTO
-13.9,-47.3,0.0010041895378217,TERESINA DE GOIÁS,2026-06-04,2,0.0,6,3,1,2.0,0.7876937763497749,ALTO
-14.4,-50.7,0.0004865889010474,NOVA CRIXÁS,2026-06-04,15,0.0,6,3,1,2.0,0.7871618781795761,ALTO
-16.3,-47.9,0.0003891234459059,LUZIÂNIA,2026-06-04,2,0.0,6,3,1,2.272727272727273,0.7869863821570788,ALTO
-16.3,-49.5,0.00040758281241,INHUMAS,2026-06-04,10,0.0,6,3,1,1.909090909090909,0.7864851639901779,ALTO
-16.8,-50.9,0.0005855311055093,IVOLÂNDIA,2026-06-04,12,0.0,6,3,1,1.909090909090909,0.7862050031121144,ALTO
-16.3,-50.0,0.0003728792033823,AMERICANO DO BRASIL,2026-06-04,10,0.0,6,3,1,1.909090909090909,0.7862050031121144,ALTO
-14.6,-48.3,0.0014132490995521,NIQUELÂNDIA,2026-06-04,10,0.0,6,3,1,1.909090909090909,0.7859163806109608,ALTO
-13.3,-46.8,0.0006283568357987,MONTE ALEGRE DE GOIÁS,2026-06-04,2,0.0,6,3,1,1.909090909090909,0.7844063825308353,ALTO
-13.0,-46.8,0.00077012477055,CAMPOS BELOS,2026-06-04,2,0.0,6,3,1,1.909090909090909,0.7835378941346429,ALTO
-14.1,-46.3,0.0010935328717014,POSSE,2026-06-04,2,0.0,6,3,1,2.0,0.7827113384113771,ALTO
-17.6,-52.5,0.0007775085171517,PEROLÂNDIA,2026-06-04,12,0.0,6,3,1,1.818181818181818,0.782308891739525,ALTO
-16.1,-47.9,0.0005648566150247,CIDADE OCIDENTAL,2026-06-04,2,0.0,6,3,1,2.1818181818181817,0.7818970823591284,ALTO
-14.2,-47.1,0.0012677892914999,IACIARA,2026-06-04,3,0.0,6,3,1,1.909090909090909,0.781674638761902,ALTO
-17.1,-52.5,0.0002532625084359,DOVERLÂNDIA,2026-06-04,12,0.0,6,3,1,1.818181818181818,0.7811291216719148,ALTO
-17.6,-52.6,0.0002510473844554,PORTELÂNDIA,2026-06-04,5,0.0,6,3,1,1.818181818181818,0.7803098664737831,ALTO
-16.6,-52.1,0.0002399717645529,PIRANHAS,2026-06-04,9,0.0,6,3,1,1.818181818181818,0.7802411099433677,ALTO
-15.2,-49.8,0.0004828970277466,RUBIATABA,2026-06-04,2,0.0,6,3,1,2.0,0.7802405776990904,ALTO
-14.6,-47.6,0.0007996597569565,SÃO JOÃO D'ALIANÇA,2026-06-04,2,0.0,6,3,1,2.0,0.7793195036362245,ALTO
-16.8,-47.6,0.0011850913295617,CRISTALINA,2026-06-04,1,0.0,6,3,1,3.0,0.7793143021641166,ALTO
-15.9,-48.3,0.0005161238874539,SANTO ANTÔNIO DO DESCOBERTO,2026-06-04,2,0.0,6,3,1,2.1818181818181817,0.7781957679776373,ALTO
-16.8,-52.0,0.0004895423996881,CAIAPÔNIA,2026-06-04,12,0.0,6,3,1,1.818181818181818,0.7781859934562952,ALTO
-14.6,-48.1,0.001594150891292,Niquelândia,2026-06-04,1,0.0,6,3,1,2.272727272727273,0.7762899172903859,ALTO
-14.5,-48.6,0.0009045089586997,NIQUELÂNDIA,2026-06-04,10,0.0,6,3,1,1.818181818181818,0.774909981211578,ALTO
-14.5,-48.5,0.0011437423485925,NIQUELÂNDIA,2026-06-04,10,0.0,6,3,1,1.818181818181818,0.774909981211578,ALTO
-13.8,-49.0,0.0004659144105628,ESTRELA DO NORTE,2026-06-04,10,0.0,6,3,1,1.818181818181818,0.7740029061594303,ALTO
-16.9,-52.6,0.0003566349608587,DOVERLÂNDIA,2026-06-04,12,0.0,6,3,1,1.7272727272727273,0.7734165428148743,ALTO
-16.3,-49.9,0.0003906001952262,ANICUNS,2026-06-04,2,0.0,6,3,1,2.0,0.7720864431482671,ALTO
