Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,risco
NIQUELÂNDIA,2026-06-04,0.0,10,6,3,1,0.0702659477850975,-14.555709823639525,-48.323005819211815,16.54513888888889,0.9811957487510685,ALTO
MINEIROS,2026-06-04,0.0,12,6,3,1,0.0275280840801993,-17.758011413392754,-52.819223041509886,9.509174311926603,0.9412016331697383,ALTO
CAVALCANTE,2026-06-04,0.0,1,6,3,1,0.0610547238995633,-13.605372533203356,-47.74998846789225,13.759398496240602,0.9328652104047543,ALTO
BARRO ALTO,2026-06-04,0.0,10,6,3,1,0.0070197278941702,-14.9246949793272,-48.89831318663708,2.274193548387097,0.9288854862071351,ALTO
CAIAPÔNIA,2026-06-04,0.0,12,6,3,1,0.0142749973049324,-17.02333953529842,-51.80903000805655,7.114832535885167,0.922324457822193,ALTO
JATAÍ,2026-06-04,0.0,9,6,3,1,0.0181485107721479,-17.885693026802887,-51.7369228480587,4.259668508287293,0.9199041342532381,ALTO
RIO VERDE,2026-06-04,0.0,3,6,3,1,0.020077883759154,-17.80973337888139,-51.01793797116709,5.575418994413408,0.8976639995677862,ALTO
FORMOSA,2026-06-04,0.0,2,6,3,1,0.0326974450760009,-15.366385635807053,-47.255312528185605,4.150837988826815,0.8975769916651305,ALTO
NOVA CRIXÁS,2026-06-04,0.0,15,6,3,1,0.0140461011602819,-14.109081491545986,-50.60644025233707,11.0,0.8937113960520423,ALTO
LUZIÂNIA,2026-06-04,0.0,2,6,3,1,0.0070248965167913,-16.41158591502055,-47.9402484582945,3.549504950495049,0.8817730301718261,ALTO
IPAMERI,2026-06-04,0.0,2,6,3,1,0.0082203250915953,-17.453901960073118,-47.994679662267664,5.139896373056994,0.8750379783323772,ALTO
CRISTALINA,2026-06-04,0.0,1,6,3,1,0.0132176447915789,-16.729108968671913,-47.51949739378938,4.318181818181818,0.8698652646367645,ALTO
