Modelo,val_auc,te_auc,te_f1,te_prec,te_rec
XGBoost,0.8147463170008582,0.8355671392948806,0.09651391299218587,0.05147965934136903,0.770859679139081
LightGBM,0.813616806437023,0.8347859773837052,0.09664799155487848,0.05156675341271373,0.7684544620496417
Random Forest,0.8112362412753197,0.8330089170273554,0.09765048109196689,0.052189274103028885,0.7574698108061196
